network video recorder,NVR,False,False,False,True,True
International Accounting Standards Board,IASB,False,False,False,True,True
Virtualized Network Function,VNF,False,False,False,False,True
Enterprise Data Management Council,EDMC,False,False,False,False,True
transaction processing software,TPS,False,False,False,False,False
Manufacturing Execution System,MES,False,False,False,False,True
Modern Art Specialist,MAS,False,False,False,False,False
Programmable Automation Controller,PAC,False,False,False,True,True
Patrizia C. McBride,PCM,False,False,False,False,False
wireless local loop,WLL,False,False,False,True,True
albeit not undervalued,Anu,False,False,False,False,False
Richard D. Shiels,RDS,False,False,False,False,False
Common Weakness Enumeration,CWE,False,False,False,True,True
Brocade Communications Systems,BCS,False,False,False,False,False
Host Card Emulation,HCE,False,False,False,False,True
Dependable Vehicular Communications,DVC,False,False,False,False,True
Amazon Web Services,AWS,False,False,False,True,True
Paschall Truck Lines,PTL,False,False,False,False,True
Baidu Log Service,BLS,False,False,False,False,True
unstructured health data,UHD,False,False,False,False,False
Business Transformation Initiative,BTI,False,False,False,False,True
Neural Information Processing Systems,NIPS,False,False,False,True,True
cloud system infrastructure services,CSIS,False,False,False,False,False
Maybank IB Research,MIR,False,False,False,False,False
IBM Enterprise analytics,IEA,False,False,False,False,False
hospital acquired infections,HAI,False,False,False,False,True
FirstWave Cloud Technology,FCT,False,False,False,False,True
elaborate security protocols,ESP,False,False,False,False,False
Toyota Production System,TPS,False,False,False,False,True
cloud giants Microsoft,CGM,False,False,False,False,False
Dependency Discovery Engine,DDE,False,False,False,False,True
global business services,GBS,False,False,False,True,True
Global Business Services,GBS,False,False,False,True,True
enterprise content management,ECM,False,False,False,True,True
Generic Routing Encapsulation,GRE,False,False,False,False,True
Telecommunication Development Industry Alliance,TDIA,False,False,False,False,True
Universiti Teknologi Petronas,UTP,False,False,False,True,True
chief commercial officer,CCO,False,False,False,False,False
Chief Commercial Officer,CCO,False,False,False,False,False
cognitive machine learning,CML,False,False,False,False,True
Senior Vice President,SVP,False,False,False,True,False
senior vice president,SVP,False,False,False,True,False
senior vice-president,SVP,False,False,False,False,False
Sword Art Online,SAO,False,False,False,True,False
Vision Processor Units,VPU,False,False,False,False,True
media resource function,MRF,False,False,False,True,True
Consumer Intelligence Research Partners,CIRP,False,False,False,False,True
powerful and innovative,PAI,False,False,False,False,False
Applied Cognitive Engine,ACE,False,False,False,False,True
Network Function Virtualization,NFV,False,False,False,False,True
Asia Pacific Economic Cooperation,APEC,False,False,False,True,True
deepest AI investments,DAI,False,False,False,False,False
entire IT stack,EIS,False,False,False,False,False
Chief executive officer,CEO,False,False,False,True,True
Chief Executive Officer,CEO,False,False,False,True,True
chief executive officer,CEO,False,False,False,True,True
Lawrence Livermore National Laboratory,LLNL,False,False,False,True,True
Qualcomm CDMA Technologies,QCT,False,False,False,False,True
Chief Engineer Doomed,CED,False,False,False,False,False
support vector machine,SVM,False,False,False,True,True
support vector machines,SVM,False,False,False,True,True
Licensed ZapThink Architect,LZA,False,False,False,False,True
important AI myths,IAM,False,False,False,False,False
ultra high definition,UHD,False,False,False,True,True
liquid crystal display,LCD,False,False,False,True,True
chief cognitive officer,CCO,False,False,False,False,False
Ernst Strngmann Institute,ESI,False,False,False,False,True
National Stock Exchange,NSE,False,False,False,False,True
Totally Integrated Automation,TIA,False,False,False,False,True
travel management companies,TMC,False,False,False,False,False
Dublin City University,DCU,False,False,False,True,True
feature-rich,FAO,False,False,False,False,False
accelerated-ROI offerings,FAO,False,False,False,False,False
British Computer Society,BCS,False,False,False,True,True
Optical Character Recognition,OCR,False,False,False,True,True
optical character recognition,OCR,False,False,False,True,True
mobile-device-management,MDM,False,False,False,False,True
Mobile Device Management,MDM,False,False,False,True,True
mobile device management,MDM,False,False,False,True,True
integrated developer experience,IDE,False,False,False,False,False
executive vice-president,EVP,False,False,False,False,True
executive vice president,EVP,False,False,False,True,True
Executive Vice president,EVP,False,False,False,True,True
Executive Vice President,EVP,False,False,False,True,True
medical research company,MRC,False,False,False,False,False
driving business engagements,DBE,False,False,False,False,False
Red Hat Enterprise Linux,RHEL,False,False,False,True,True
Intel Developer Forum,IDF,False,False,False,False,True
Israeli Defense Forces,IDF,False,False,False,True,True
Tokyo Game Show,TGS,False,False,False,True,True
Tokyo Games Show,TGS,False,False,False,True,True
Accountable Care Organizations,ACO,False,False,False,False,True
Chief Technology Officer,CTO,False,False,False,True,True
chief technology officer,CTO,False,False,False,True,True
Allen Telescope Array,ATA,False,False,False,True,True
Google Compute Cloud,GCC,False,False,False,False,False
Decision Support Systems,DSS,False,False,False,True,True
Decision support systems,DSS,False,False,False,True,True
predictive threat intelligence,Pty,False,False,False,False,False
Geographic Information Systems,GIS,False,False,False,True,True
geographic information system,GIS,False,False,False,True,True
